TABLE 1 - Lasso path: which press series survive at each penalty,,,,,,,,
penalty,net direction,disagreement,hedge rate,expert share,attention,kept,,
C = 1,0.402,0.808,0.040,0.343,0.485,5/5,,
C = 0.5,0.341,0.740,0.037,0.321,0.478,5/5,,
C = 0.2,0.190,0.569,0.026,0.264,0.465,5/5,,
C = 0.1,0.006,0.362,0.002,0.192,0.455,5/5,,
C = 0.05,,0.244,,0.078,0.379,3/5,,
C = 0.02,,0.002,,,0.167,2/5,,
C = 0.01,,,,,,0/5,,
Blank = coefficient driven to exactly zero.,,,,,,,,
In-sample L1 fit on all 498 expansion months; standardized coefficients.,,,,,,,,
"A description of what the penalty keeps, not an accuracy claim.",,,,,,,,
"Hedge rate and net direction go first, then expert share. At C = 0.02 only attention retains real weight (0.167); disagreement is nonzero but negligible (0.002).",,,,,,,,
Disagreement carries the largest coefficient under weak penalty on ALL-SCOPE claims; it does not when the series are national-only.,,,,,,,,
,,,,,,,,
TABLE 2 - Forward-only backtest: five press series vs attention alone,,,,,,,,
training start,model,features,months,onsets,AUC,eras won,paired diff vs other model,95% CI
1930-1963,Five press series,5,303,72,0.641,2/4,,
1930-1963,Attention alone,1,303,72,0.616,2/4,-0.019,"[-0.12, +0.12]"
1940-1963,Five press series,5,236,60,0.734,1/3,,
1940-1963,Attention alone,1,236,60,0.729,2/3,-0.001,"[-0.10, +0.15]"
1950-1963,Five press series,5,137,36,0.773,1/2,,
1950-1963,Attention alone,1,137,36,0.707,1/2,-0.065,"[-0.13, -0.01]"
AUC 0.50 = coin flip. Model refit every year on all prior years; never sees the year it predicts.,,,,,,,,
"Paired difference = attention minus five series, 95% block bootstrap over 3-year blocks.",,,,,,,,
The two longer windows are indistinguishable - four series drop out without measurable loss; the shortest favours five.,,,,,,,,
"Eras won: 8-year blocks inside each window. Only 2-4 fit, so treat the column as illustrative.",,,,,,,,
,,,,,,,,
